itemset,support
frozenset({'Bread'}),0.16133333333333333
frozenset({'Onions'}),0.16066666666666668
frozenset({'Juice'}),0.16
frozenset({'Pasta'}),0.159
frozenset({'Butter'}),0.156
frozenset({'Ice Cream'}),0.154
frozenset({'Lettuce'}),0.154
frozenset({'Rice'}),0.15366666666666667
frozenset({'Apples'}),0.153
frozenset({'Sugar'}),0.15233333333333332
frozenset({'Yogurt'}),0.152
frozenset({'Water'}),0.15166666666666667
frozenset({'Tea'}),0.15166666666666667
frozenset({'Chicken'}),0.151
frozenset({'Cheese'}),0.151
frozenset({'Cereal'}),0.14866666666666667
frozenset({'Milk'}),0.14733333333333334
frozenset({'Fish'}),0.14733333333333334
frozenset({'Bananas'}),0.147
frozenset({'Coffee'}),0.147
frozenset({'Beef'}),0.14633333333333334
frozenset({'Oil'}),0.146
frozenset({'Soda'}),0.14566666666666667
frozenset({'Tomatoes'}),0.14466666666666667
frozenset({'Salt'}),0.14433333333333334
frozenset({'Chocolate'}),0.143
frozenset({'Eggs'}),0.141
frozenset({'Chips'}),0.14066666666666666
frozenset({'Spices'}),0.13933333333333334
frozenset({'Flour'}),0.139
